時間[s] 推定速度[km/h] 実速度[km/h]
10.37239 0.133207695557019 0
10.38469 0.133207695557019 0
10.39655 0.133207695557019 0
10.40882 0.128539450745756 0
10.42073 0.128539450745756 0
10.43298 0.128539450745756 0
10.44499 0.128539450745756 0
10.45768 0.124024886931299 0
10.46961 0.124024886931299 0
10.48174 0.124024886931299 0
10.49356 0.124024886931299 0
10.50584 0.116683087160409 0
10.51862 0.116683087160409 0
10.53143 0.116683087160409 0
10.54321 0.116683087160409 0
10.555 0.10195158038115 0
10.56742 0.10195158038115 0
10.57924 0.10195158038115 0
10.59095 0.10195158038115 0
10.6109 0.0851134467758485 0
10.62307 0.0851134467758485 0
10.63484 0.0851134467758485 0
10.64619 0.0672330747528571 0
10.65823 0.0672330747528571 0
10.6704 0.0672330747528571 0
10.682 0.0672330747528571 0
10.69384 0.047934798622662 0
10.70621 0.047934798622662 0
10.71878 0.047934798622662 0
10.73093 0.047934798622662 0
10.7431 0.0333379055614455 0
10.75526 0.0333379055614455 0
10.7678 0.0333379055614455 0
10.77945 0.0333379055614455 0
10.79132 0.0165849597887291 0
10.80283 0.0165849597887291 0
10.81499 0.0165849597887291 0
10.82638 0.0165849597887291 0
10.83787 0.0110408148417301 0
10.85026 0.0110408148417301 0
10.86237 0.0110408148417301 0
10.87422 0.0110408148417301 0
10.88594 0 0
10.89785 0 0
10.90922 0 0
10.92055 0 0
10.93241 0 0
10.94443 0 0
10.95579 0 0
10.96746 0 0
10.97959 0 0
10.995 0 0
11.00641 0 0
11.01815 0 0
11.03099 0 0
11.04351 0 0
11.05554 0 0
11.06735 0 0
11.08009 0 0
11.09222 0 0
11.11205 0 0
11.12546 0 0
11.1375 0 0
11.14945 0 0
11.16091 0 0
11.17247 0 0
11.1847 0 0
11.19659 0 0
11.20826 0 0
11.22078 0 0
11.23226 0 0
11.24376 0 0
11.25564 0 0
11.26836 0 0
11.27995 0 0
11.29139 0 0
11.30324 0 0
11.31549 0 0
11.32734 0 0
11.33928 0 0
11.35126 0 0
11.36318 0 0
11.37473 0 0
11.38615 0 0
11.39815 0 0
11.40995 0 0
11.42212 0 0
11.43401 0 0
11.44646 0 0
11.4609 0 0
11.47243 0 0
11.48451 0 0
11.49618 0 0
11.50788 0 0
11.51966 0 0
11.53166 0 0
11.54394 0 0
11.55637 0 0
11.56797 0 0
11.57972 0 0
11.59154 0 0
11.60331 0 0
11.62348 0 0
11.63643 0 0
11.65373 0 0
11.66575 0 0
11.6775 0 0
11.68958 0 0
11.70201 0 0
11.7137 0 0
11.72634 0 0
11.74122 0 0
11.75332 0 0
11.76531 0 0
11.77826 0 0
11.79019 0 0
11.80213 0.0277095229574866 0
11.81401 0.0277095229574866 0
11.82597 0.0277095229574866 0
11.83823 0.0277095229574866 0
11.85042 0.0662477048569132 0
11.86183 0.0662477048569132 0
11.87349 0.0662477048569132 0
11.88576 0.0662477048569132 0
11.89795 0.0840674413270802 0
11.90946 0.0840674413270802 0
11.92112 0.0840674413270802 0
11.9329 0.0840674413270802 0
11.94437 0.105510560452022 0
11.95639 0.105510560452022 0
11.96829 0.105510560452022 0
11.97961 0.105510560452022 0
11.99186 0.12424934517413 0
12.00437 0.12424934517413 0
12.01653 0.12424934517413 0
12.0277 0.12424934517413 0
12.03941 0.144979504435325 0
12.05182 0.144979504435325 0
