時間[s] 推定速度[km/h]
11.08442 7.01693772700479
11.09579 7.01693772700479
11.1074 7.41679963555023
11.11966 7.41679963555023
11.13201 7.41679963555023
11.14361 7.41679963555023
11.15567 7.86847489462425
11.16806 7.86847489462425
11.18002 7.86847489462425
11.19253 7.86847489462425
11.20433 7.86847489462425
11.21651 8.28359086752001
11.22846 8.28359086752001
11.24304 8.28359086752001
11.25499 8.28359086752001
11.26741 8.54742171663639
11.28091 8.54742171663639
11.29354 8.54742171663639
11.30657 8.54742171663639
11.31858 8.54742171663639
11.33074 8.71484657035268
11.34317 8.71484657035268
11.35586 8.71484657035268
11.37276 8.71484657035268
11.3849 9.00176160235557
11.39746 9.00176160235557
11.4089 9.00176160235557
11.42092 9.00176160235557
11.43274 9.00176160235557
11.44713 9.22711025848188
11.45937 9.22711025848188
11.47098 9.22711025848188
11.48289 9.22711025848188
11.49418 9.5274954675133
11.50667 9.5274954675133
11.51868 9.5274954675133
11.53047 9.5274954675133
11.54241 9.5274954675133
11.5542 9.80750171881874
11.56683 9.80750171881874
11.57854 9.80750171881874
11.58999 9.80750171881874
11.6026 10.1298893433401
11.61502 10.1298893433401
11.6265 10.1298893433401
11.6384 10.1298893433401
11.65265 10.1298893433401
11.66459 10.4463234656
11.67677 10.4463234656
11.68853 10.4463234656
11.70177 10.4463234656
11.71529 10.8262219193041
11.7279 10.8262219193041
11.73971 10.8262219193041
11.75149 10.8262219193041
11.76311 10.8262219193041
11.77502 11.2205348040028
11.78772 11.2205348040028
11.80044 11.2205348040028
11.81243 11.2205348040028
11.8241 11.5722194450465
11.83745 11.5722194450465
11.85061 11.5722194450465
11.86462 11.5722194450465
11.87603 11.5722194450465
11.88829 11.912196816373
11.9017 11.912196816373
11.91442 11.912196816373
11.92651 11.912196816373
11.93881 12.2515130946402
11.95117 12.2515130946402
11.96258 12.2515130946402
11.97466 12.2515130946402
11.98701 12.2515130946402
11.99925 12.557988023911
12.01202 12.557988023911
12.02399 12.557988023911
12.0361 12.557988023911
12.04776 12.9530143030292
12.05998 12.9530143030292
12.07466 12.9530143030292
12.08731 12.9530143030292
12.09978 12.9530143030292
12.11156 13.3382294799652
12.12429 13.3382294799652
12.13606 13.3382294799652
12.14769 13.3382294799652
12.15911 13.6762753105044
12.17145 13.6762753105044
12.18333 13.6762753105044
12.19509 13.6762753105044
12.20661 13.6762753105044
12.21825 14.0484119809131
12.23044 14.0484119809131
12.2418 14.0484119809131
12.25343 14.0484119809131
12.26497 14.0484119809131
12.27878 14.3312144202558
12.29158 14.3312144202558
12.30467 14.3312144202558
12.31719 14.3312144202558
12.33103 14.6463358863346
12.34394 14.6463358863346
12.35599 14.6463358863346
12.36843 14.6463358863346
12.38057 14.9206009135053
12.39319 14.9206009135053
12.40517 14.9206009135053
12.41703 14.9206009135053
12.42847 14.9206009135053
12.44024 15.300711703883
12.4528 15.300711703883
12.46423 15.300711703883
12.47547 15.300711703883
12.4896 15.62751225075
12.5021 15.62751225075
12.51434 15.62751225075
12.52619 15.62751225075
12.53817 15.62751225075
12.55026 15.9635107902919
12.56671 15.9635107902919
12.58098 15.9635107902919
12.59308 15.9635107902919
12.60471 16.2982465621932
12.61724 16.2982465621932
12.63016 16.2982465621932
12.64165 16.2982465621932
12.65298 16.2982465621932
12.66493 16.632581146724
12.67761 16.632581146724
12.69191 16.632581146724
12.7038 16.632581146724
12.71697 17.086879135883
12.72898 17.086879135883
12.7405 17.086879135883
12.75204 17.086879135883
12.76373 17.086879135883
12.77564 17.5163812409277
12.78775 17.5163812409277
12.79945 17.5163812409277
12.81121 17.5163812409277
12.82264 17.9179251517131
12.83515 17.9179251517131
12.84699 17.9179251517131
12.85862 17.9179251517131
12.86993 17.9179251517131
12.8816 18.3179317956639
12.89676 18.3179317956639
12.90909 18.3179317956639
12.92406 18.3179317956639
12.93658 18.7555623285802
12.95023 18.7555623285802
12.96354 18.7555623285802
12.97512 18.7555623285802
12.98673 18.7555623285802
12.99885 19.2026700451001
13.01134 19.2026700451001
13.02359 19.2026700451001
13.03604 19.2026700451001
13.05049 19.6166654282807
13.06255 19.6166654282807
13.07462 19.6166654282807
13.08657 19.6166654282807
13.101 20.1796275813889
13.11409 20.1796275813889
13.12665 20.1796275813889
13.13838 20.1796275813889
13.1502 20.1796275813889
13.16161 20.6718557220624
13.17363 20.6718557220624
13.18534 20.6718557220624
13.19693 20.6718557220624
13.20846 20.6718557220624
13.21985 21.1148429786695
13.23206 21.1148429786695
13.24319 21.1148429786695
13.25506 21.1148429786695
13.26644 21.1148429786695
13.27821 21.4836512509288
13.29051 21.4836512509288
13.30443 21.4836512509288
13.31736 21.4836512509288
13.33142 22.0299652998641
13.34547 22.0299652998641
13.35704 22.0299652998641
13.36964 22.0299652998641
13.3811 22.3288247704824
13.3935 22.3288247704824
13.40539 22.3288247704824
13.41706 22.3288247704824
13.42867 22.3288247704824
13.44053 22.7788720988515
13.45279 22.7788720988515
13.46499 22.7788720988515
13.47645 22.7788720988515
13.48825 22.7788720988515
13.50025 23.189036156364
13.51488 23.189036156364
13.52639 23.189036156364
13.53823 23.189036156364
13.55031 23.5668206465169
13.5633 23.5668206465169
13.57523 23.5668206465169
13.58662 23.5668206465169
13.59845 23.5668206465169
13.6097 23.9499654147124
13.62178 23.9499654147124
13.63348 23.9499654147124
13.64538 23.9499654147124
13.65704 24.3690910554848
13.6697 24.3690910554848
13.68182 24.3690910554848
13.69592 24.3690910554848
13.7075 24.3690910554848
13.72294 24.7354668834671
13.74067 24.7354668834671
13.75298 24.7354668834671
13.76466 24.7354668834671
13.77614 25.1022991218038
13.78834 25.1022991218038
13.79998 25.1022991218038
13.81147 25.1022991218038
13.82292 25.4705188133706
13.83545 25.4705188133706
13.84682 25.4705188133706
13.85834 25.4705188133706
13.86955 25.4705188133706
13.88118 25.8229824982226
13.89316 25.8229824982226
13.90462 25.8229824982226
13.91668 25.8229824982226
13.93126 25.8229824982226
13.9432 26.2233931082666
13.95558 26.2233931082666
13.96789 26.2233931082666
13.97955 26.2233931082666
13.9912 26.5942358119104
14.00357 26.5942358119104
14.01538 26.5942358119104
14.02672 26.5942358119104
14.03873 26.5942358119104
14.05061 26.9401322475892
14.0661 26.9401322475892
14.07747 26.9401322475892
14.08877 26.9401322475892
14.10013 27.3275187844719
14.11218 27.3275187844719
14.12347 27.3275187844719
14.13781 27.3275187844719
14.15061 27.3275187844719
14.16327 27.6719951195366
14.17542 27.6719951195366
14.18695 27.6719951195366
14.1989 27.6719951195366
14.21021 27.6719951195366
14.22156 28.0031174514941
14.23353 28.0031174514941
14.24533 28.0031174514941
14.25681 28.0031174514941
14.26845 28.2992355679854
14.28054 28.2992355679854
14.29227 28.2992355679854
14.30409 28.2992355679854
14.31568 28.2992355679854
14.32726 28.5995419466636
14.34204 28.5995419466636
14.35418 28.5995419466636
14.36605 28.5995419466636
14.3782 28.886327668253
14.39129 28.886327668253
14.40313 28.886327668253
14.41542 28.886327668253
14.42692 28.886327668253
14.43877 29.1407423865136
14.451 29.1407423865136
14.46254 29.1407423865136
14.47404 29.1407423865136
14.48629 29.1407423865136
14.49809 29.3912015959474
14.51069 29.3912015959474
14.52244 29.3912015959474
14.53548 29.3912015959474
14.55204 29.5885624381404
14.56657 29.5885624381404
14.57972 29.5885624381404
14.59214 29.5885624381404
14.60429 30.5555388904162
14.61746 30.5555388904162
14.63162 30.5555388904162
14.64546 30.5555388904162
14.659 30.7355528813546
14.67234 30.7355528813546
14.68447 30.7355528813546
14.6956 30.7355528813546
14.70709 30.7355528813546
14.71886 30.9210290009528
14.73051 30.9210290009528
14.74236 30.9210290009528
14.7566 30.9210290009528
14.76859 31.1051494323376
14.7802 31.1051494323376
14.79118 31.1051494323376
14.80314 31.1051494323376
14.81522 31.1051494323376
14.82732 31.286080340687
14.8397 31.286080340687
14.85157 31.286080340687
14.86277 31.286080340687
14.87408 31.286080340687
14.88567 31.4715564602853
14.89812 31.4715564602853
14.90944 31.4715564602853
14.92063 31.4715564602853
14.9366 31.6615777911324
14.94962 31.6615777911324
14.96395 31.6615777911324
14.97596 31.6615777911324
14.98824 31.6615777911324
15.00032 31.8461369933196
15.01214 31.8461369933196
15.02382 31.8461369933196
15.03553 31.8461369933196
15.04738 32.0161436443493
15.06055 32.0161436443493
15.07244 32.0161436443493
15.08507 32.0161436443493
15.09604 32.0161436443493
15.10728 32.1938850296633
15.11938 32.1938850296633
15.13119 32.1938850296633
15.14255 32.1938850296633
15.15409 32.1938850296633
15.17031 32.398458911668
15.1839 32.398458911668
15.19509 32.398458911668
15.20637 32.398458911668
15.21829 32.6153127392057
15.22988 32.6153127392057
15.24115 32.6153127392057
15.25286 32.6153127392057
15.26524 32.6153127392057
15.27678 32.8089623638907
15.28863 32.8089623638907
15.30036 32.8089623638907
15.31213 32.8089623638907
15.3234 33.0148919341088
15.3354 33.0148919341088
15.3466 33.0148919341088
15.35865 33.0148919341088
15.37234 33.0148919341088
15.38484 33.2108141644182
15.39664 33.2108141644182
15.4102 33.2108141644182
15.42155 33.2108141644182
15.43317 33.2108141644182
15.44538 33.3967290548189
15.4589 33.3967290548189
15.47088 33.3967290548189
15.48289 33.3967290548189
15.49419 33.5703639996865
15.5063 33.5703639996865
15.51764 33.5703639996865
15.52865 33.5703639996865
15.54024 33.5703639996865
15.55181 33.7594684131227
15.56407 33.7594684131227
15.57858 33.7594684131227
15.58986 33.7594684131227
15.6017 33.926285541117
15.61399 33.926285541117
15.62642 33.926285541117
15.63785 33.926285541117
15.64957 33.926285541117
15.6606 34.133132028746
15.67213 34.133132028746
15.68375 34.133132028746
15.69489 34.133132028746
15.70605 34.133132028746
15.71762 34.3208807539687
15.72973 34.3208807539687
15.74118 34.3208807539687
15.75263 34.3208807539687
15.76514 34.3208807539687
15.77873 34.4608653852723
15.79014 34.4608653852723
15.80159 34.4608653852723
15.81275 34.4608653852723
15.82471 34.5894869884538
15.8371 34.5894869884538
15.8484 34.5894869884538
15.85983 34.5894869884538
15.87108 34.5894869884538
15.88264 34.7344949776148
15.89419 34.7344949776148
15.90554 34.7344949776148
15.9172 34.7344949776148
15.92847 34.7344949776148
15.93956 51.2351603488125
15.95183 51.2351603488125
15.96289 51.2351603488125
15.97423 51.2351603488125
15.98769 51.2351603488125
15.99986 50.3454925976083
16.01208 50.3454925976083
16.02322 50.3454925976083
16.03443 50.3454925976083
16.04862 50.4759460222168
16.06079 50.4759460222168
16.0731 50.4759460222168
